Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Relative Velocity km per hr,Miss Dist.(kilometers),Minimum Orbit Intersection,Eccentricity,Semi Major Axis,Inclination,Orbital Period,Perihelion Distance,Aphelion Dist,Hazardous
1000000,Demo Asteroid 0,22.700849283435193,0.18919382920071165,0.31903502724722144,14723.990063076923,7023525.074683902,0.21538270833429413,0.5029795923850533,0.9519887069597048,15.697429444572155,876.9644978621591,0.47315781517793853,1.4308195987414711,false
1000001,Demo Asteroid 1,19.608036555646862,0.09297726512078623,0.17484008662326309,16249.945589404824,1058210.3549737271,0.04721054522432814,0.7664377328197644,1.9077921281897654,6.8843175843046165,522.4790009293317,0.44558825476860836,3.369996001610922,false
1000002,Demo Asteroid 2,23.726037750354852,0.3098678666476139,0.5139234390711521,13289.538095422637,5111683.814374997,0.4279283258404752,0.39106812637167615,1.6309272641626167,9.942508834287757,330.63709309773066,0.9931235947180583,2.268730933607175,false
1000003,Demo Asteroid 3,24.163298847699792,0.09000123390556705,0.14591205445465716,7721.341139080293,1963087.2905590395,0.03216563659978333,0.309287231259917,0.7205952393091521,14.018170382230824,1716.8302178414879,0.4977243328841472,0.943466145734157,false
1000004,Demo Asteroid 4,17.51261906609618,0.0894746500025434,0.20348805360948594,13174.06840318942,1578725.7170218774,0.024976606035785148,0.4482294944018785,2.7322472700855265,23.30034010798105,335.1684551053113,1.5075734576341782,3.956921082536875,true
1000005,Demo Asteroid 5,19.00498713421667,0.19238350967433823,0.34405048917761155,13166.659256332312,2803760.153854224,0.016755184189946034,0.25013159269985064,1.143254476027907,22.077142918105075,528.9452679656663,0.8572904130778135,1.4292185389780008,true
1000006,Demo Asteroid 6,22.294032927284757,0.22221769122292254,0.40547680300041417,14019.081689508255,3448196.6936408905,0.4057257681121785,0.5946879612222917,1.7924858974273312,7.390290093380769,636.516073237194,0.7265161135665616,2.858455681288101,false
1000007,Demo Asteroid 7,21.27264203760976,0.18109465774674763,0.2806502449230541,12122.09380755089,2384818.072905259,0.10409022741721169,0.38231072221596024,3.1365213548451747,5.471836864165384,614.2658894173314,1.9373956104285337,4.3356470992618155,false
1000008,Demo Asteroid 8,21.961357337740136,0.04524612461821815,0.0824218183950929,12644.097018163244,6394588.364393888,0.036857039033428705,0.2922443353975026,3.455439617527313,26.51384265390179,500.00361740055007,2.445606962996843,4.465272272057783,false
1000009,Demo Asteroid 9,20.037998966580766,0.19199660026838175,0.3337527703977414,14561.01165561415,2794446.1771657723,0.1532201392892408,0.14225140507257666,1.7011313820528855,6.8536660848179185,501.1261336966153,1.4591430527428082,1.9431197113629628,true
1000010,Demo Asteroid 10,24.022615342184505,0.06909311208357061,0.14160194999022901,17237.78596625431,8746399.582228607,0.09245095110784275,0.5583999089422867,1.9509359500478891,15.256518099083708,489.9388856537202,0.8615334931889141,3.0403384069068644,false
1000011,Demo Asteroid 11,23.78892145148658,0.15769846362241188,0.2656984563809173,13272.514978586643,4999950.310828947,0.29215076958830555,0.07390638731692903,1.6382551048843679,2.0134046977943956,329.58350907384755,1.5171775885788477,1.759332621189888,false
1000012,Demo Asteroid 12,22.151870604390798,0.05364176143559972,0.12335078108414241,12792.609176674925,2285177.4426519214,0.012362970186555456,0.060812598481999526,4.336176681201529,1.22586012533247,1433.104926183957,4.072482509740611,4.599870852662447,false
1000013,Demo Asteroid 13,24.592654776026475,0.18088557967611757,0.4226753265816904,15249.834254041627,1997182.6949872195,0.0392099751093065,0.4455420047963939,1.4239749625521307,11.308838330479729,493.2440524896325,0.7895343029567846,2.0584156221474768,false
1000014,Demo Asteroid 14,23.075271487179705,0.08011523143033746,0.12737103657019458,7537.7531504441295,1068752.8445128407,0.032834704939142,0.27056092571099644,1.39608629380797,8.941934453773149,712.385321402045,1.0183598937828513,1.7738126938330885,false
1000015,Demo Asteroid 15,20.023627335368552,0.05879417329151721,0.09387446115892248,17447.685705861466,5038336.581879761,0.008427000281665563,0.3039767524846939,2.391134124159821,18.072315863991875,468.43915159472226,1.6642849383423859,3.1179833099772565,true
